:ID,end,start,type,favorites,level,duration,id,title,summary,:LABEL
0,2022-10-12T15:30Z,2022-10-12T14:40Z,Conference,81,BEGINNER,50,49652,2022: A GitOps Odyssey,,Talk
1,2022-10-11T16:05Z,2022-10-11T15:35Z,Tools-in-Action,56,INTERMEDIATE,30,20733,7 tools to help you secure your Kubernetes cluster,,Talk
2,2022-10-11T16:50Z,2022-10-11T16:20Z,Tools-in-Action,89,INTERMEDIATE,30,20161,A 1.5MB Java Container App? Yes you can!,"Containerized Java applications are becoming more popular, but size and security are still important considerations. In this session, we'll demonstrate how to build a small Java container image using GraalVM Native Image and musl libc.",Talk
3,2022-10-10T15:20Z,2022-10-10T14:50Z,Tools-in-Action,220,BEGINNER,30,12251,Access your brain with an API,"There is a brain helmet that can capture our brain's electrical activity and has made available an SDK that allows you to create applications and services with this new form of interface: the brain. After a quick explanation of how our brain works, we will see in the form of mini demos how the SDK works and the perspectives it opens up—for accessibility in particular.",Talk
4,2022-10-11T13:25Z,2022-10-11T12:35Z,Conference,105,INTERMEDIATE,50,19431,Agile Agency - Trusting People to Get Things Done,It's important to understand how deadlines work and how to manage them so that development can happen smoothly.,Talk
5,2022-10-13T08:20Z,2022-10-13T07:30Z,Conference,198,INTERMEDIATE,50,16129,Ahead Of Time and Native in Spring Boot 3.0, This talk will give you a complete overview of the AOT efforts in Spring and how it can benefit you as a developer.,Talk
6,2022-10-10T10:30Z,2022-10-10T07:30Z,Deep Dive,90,INTERMEDIATE,180,16122,A Java developer Journey into Apache Cassandra™,,Talk
7,2022-10-12T14:00Z,2022-10-12T13:10Z,Conference,41,INTERMEDIATE,50,5951,Akka Streams for the Brave,,Talk
8,2022-10-12T15:30Z,2022-10-12T14:40Z,Conference,112,BEGINNER,50,57406,A new hope for 2023? - what developers must learn next,,Talk
9,2022-10-12T15:30Z,2022-10-12T14:40Z,Conference,123,INTERMEDIATE,50,2963,An Introduction To Residuality Theory,,Talk
10,2022-10-12T18:00Z,2022-10-12T17:00Z,BOF,51,BEGINNER,60,16115,Apache Maven BoF,,Talk
11,2022-10-12T14:00Z,2022-10-12T13:10Z,Conference,48,INTERMEDIATE,50,13701,A postgres-compatible DB on Kubernetes: YugabyteDB,,Talk
12,2022-10-14T08:20Z,2022-10-14T07:30Z,Conference,144,INTERMEDIATE,50,20722,Apps modernization strategy: a light at the end of the tunnel,">:</span><em style=background-color: transparent; color: rgb(14, 16, 26);>you don't need to worry about the code changes!</em></p>",Talk
13,2022-10-12T11:20Z,2022-10-12T11:05Z,Quickie,129,BEGINNER,15,12157,Architecture Katas : Improve your system architecture design skills in a funny way !,"How to learn architecture? There are plenty of books and training sessions about this subject. The best thing is to practice! In the same way as coding dojos, I will present to you architecture katas. There are created by Ted Neward (http://blogs.tedneward.com/). His idea came from the following observation: So how are we supposed to get great architects, if they only get the chance to architect fewer than a half-dozen times in",Talk
14,2022-10-12T08:45Z,2022-10-12T08:00Z,Keynote,380,INTERMEDIATE,45,47153,Artificial Intelligence: You Are Here,,Talk
15,2022-10-14T09:25Z,2022-10-14T08:35Z,Conference,50,INTERMEDIATE,50,19402,Attracting and retaining women in tech: going beyond the trend !,"Women are underrepresented in the digital realm. Today, they represent only 28 to 30% of employees, all professions combined.",Talk
16,2022-10-11T18:00Z,2022-10-11T17:00Z,BOF,24,BEGINNER,60,19405,Belgian JVM Lovers Unite: The User Groups need you!,,Talk
17,2022-10-12T11:20Z,2022-10-12T11:05Z,Quickie,50,INTERMEDIATE,15,20198,Blinking a LED with JBang and Pi4J on a Raspberry Pi in 15 minutes,,Talk
